customer_id,kyc_tier,home_region,registration_date
CUS0000126,tier_1,Basse,2024-02-07
CUS0000127,tier_2,Abuja,2025-07-20
CUS0000128,tier_2,Ibadan,2023-11-14
CUS0000129,tier_3,Kano,2022-12-19
CUS0000130,tier_1,Kanifing,2024-09-07
CUS0000131,tier_2,Basse,2024-09-22
CUS0000132,tier_2,Abuja,2025-06-13
CUS0000133,tier_2,Kanifing,2023-07-07
CUS0000134,tier_1,Basse,2025-11-02
CUS0000135,tier_1,Banjul,2024-05-10
CUS0000136,tier_1,Abuja,2025-03-08
CUS0000137,tier_1,Abuja,2022-10-29
CUS0000138,tier_2,Brikama,2025-01-17
CUS0000139,tier_1,Port Harcourt,2023-11-09
CUS0000140,tier_2,Farafenni,2023-03-18
CUS0000141,tier_3,Brikama,2024-09-12
CUS0000142,tier_1,Basse,2023-06-04
CUS0000143,tier_1,Banjul,2023-05-24
CUS0000144,tier_3,Ibadan,2025-02-11
CUS0000145,tier_1,Lagos,2024-04-28
CUS0000146,tier_2,Abuja,2024-08-06
CUS0000147,tier_1,Basse,2024-11-19
CUS0000148,tier_3,Kano,2025-05-27
CUS0000149,tier_1,Port Harcourt,2023-12-27
CUS0000150,tier_2,Basse,2025-11-17
CUS0000151,tier_3,Abuja,2024-06-17
CUS0000152,tier_1,Banjul,2023-03-20
CUS0000153,tier_2,Basse,2024-09-16
CUS0000154,tier_2,Lagos,2024-10-09
CUS0000155,tier_2,Port Harcourt,2024-08-05
CUS0000156,tier_2,Brikama,2025-06-16
CUS0000157,tier_3,Banjul,2024-04-08
CUS0000158,tier_2,Banjul,2022-10-02
CUS0000159,tier_1,Brikama,2025-06-30
CUS0000160,tier_3,Lagos,2023-09-03
CUS0000161,tier_1,Brikama,2022-12-23
CUS0000162,tier_2,Lagos,2023-01-09
CUS0000163,tier_1,Basse,2025-01-29
CUS0000164,tier_1,Kano,2024-05-06
CUS0000165,tier_2,Lagos,2025-05-10
CUS0000166,tier_1,Kanifing,2025-03-18
CUS0000167,tier_2,Farafenni,2023-10-10
CUS0000168,tier_3,Ibadan,2023-12-13
CUS0000169,tier_1,Abuja,2025-12-03
CUS0000170,tier_1,Kanifing,2023-06-14
CUS0000171,tier_1,Basse,2022-09-21
CUS0000172,tier_1,Lagos,2025-05-24
CUS0000173,tier_2,Kano,2025-11-10
CUS0000174,tier_2,Ibadan,2024-02-29
CUS0000175,tier_3,Farafenni,2025-08-24
CUS0000176,tier_2,Kano,2024-04-22
CUS0000177,tier_2,Kanifing,2025-03-20
CUS0000178,tier_1,Banjul,2024-04-17
CUS0000179,tier_3,Kanifing,2025-06-15
CUS0000180,tier_1,Ibadan,2025-03-29
CUS0000181,tier_1,Lagos,2022-12-21
CUS0000182,tier_1,Brikama,2023-09-04
CUS0000183,tier_2,Kano,2023-09-18
CUS0000184,tier_3,Basse,2025-10-25
CUS0000185,tier_2,Farafenni,2023-07-07
CUS0000186,tier_1,Farafenni,2023-12-20
CUS0000187,tier_1,Lagos,2022-12-12
CUS0000188,tier_3,Lagos,2025-08-29
CUS0000189,tier_1,Farafenni,2025-04-25
CUS0000190,tier_3,Kano,2025-06-27
CUS0000191,tier_2,Port Harcourt,2025-11-18
CUS0000192,tier_1,Lagos,2024-08-20
CUS0000193,tier_3,Port Harcourt,2024-11-06
CUS0000194,tier_1,Ibadan,2024-11-02
CUS0000195,tier_2,Farafenni,2024-02-28
CUS0000196,tier_2,Port Harcourt,2025-12-26
CUS0000197,tier_1,Brikama,2025-04-09
CUS0000198,tier_1,Brikama,2025-05-20
CUS0000199,tier_2,Banjul,2025-04-06
CUS0000200,tier_1,Farafenni,2024-03-08
CUS0000201,tier_1,Basse,2025-09-15
CUS0000202,tier_1,Abuja,2023-01-19
CUS0000203,tier_1,Kanifing,2023-05-01
CUS0000204,tier_1,Lagos,2023-02-14
CUS0000205,tier_2,Kano,2023-03-06
CUS0000206,tier_1,Port Harcourt,2025-10-04
CUS0000207,tier_2,Ibadan,2024-04-23
CUS0000208,tier_1,Banjul,2025-08-29
CUS0000209,tier_3,Abuja,2023-08-11
CUS0000210,tier_2,Kano,2023-07-07
CUS0000211,tier_1,Kanifing,2024-03-12
CUS0000212,tier_2,Kanifing,2025-04-17
CUS0000213,tier_1,Port Harcourt,2022-12-04
CUS0000214,tier_2,Abuja,2023-01-10
CUS0000215,tier_1,Ibadan,2023-08-03
CUS0000216,tier_1,Kanifing,2022-11-28
CUS0000217,tier_2,Farafenni,2023-08-04
CUS0000218,tier_1,Farafenni,2023-09-06
CUS0000219,tier_1,Kano,2023-10-07
CUS0000220,tier_1,Kanifing,2024-03-31
CUS0000221,tier_1,Basse,2023-11-26
CUS0000222,tier_3,Kano,2025-08-16
CUS0000223,tier_1,Kanifing,2025-06-24
CUS0000224,tier_1,Lagos,2025-04-09
CUS0000225,tier_2,Port Harcourt,2022-11-07
CUS0000226,tier_2,Kanifing,2023-09-12
CUS0000227,tier_1,Abuja,2025-09-17
CUS0000228,tier_3,Port Harcourt,2024-04-01
CUS0000229,tier_1,Port Harcourt,2023-02-26
CUS0000230,tier_1,Kano,2024-09-28
CUS0000231,tier_2,Lagos,2022-11-18
CUS0000232,tier_1,Basse,2022-10-13
CUS0000233,tier_1,Abuja,2022-11-09
CUS0000234,tier_3,Port Harcourt,2022-11-17
CUS0000235,tier_1,Basse,2025-11-02
CUS0000236,tier_1,Basse,2024-02-05
CUS0000237,tier_1,Brikama,2025-03-13
CUS0000238,tier_2,Abuja,2025-08-11
CUS0000239,tier_1,Banjul,2025-06-27
CUS0000240,tier_2,Farafenni,2023-11-22
CUS0000241,tier_1,Lagos,2025-02-12
CUS0000242,tier_1,Lagos,2022-10-26
CUS0000243,tier_2,Banjul,2025-02-16
CUS0000244,tier_1,Port Harcourt,2025-09-21
CUS0000245,tier_2,Basse,2023-07-08
CUS0000246,tier_2,Kano,2023-07-10
CUS0000247,tier_1,Farafenni,2023-02-16
CUS0000248,tier_1,Abuja,2025-05-18
CUS0000249,tier_1,Port Harcourt,2023-04-10
CUS0000250,tier_1,Basse,2025-09-29
CUS0000251,tier_1,Port Harcourt,2025-09-10
CUS0000252,tier_1,Basse,2024-10-25
CUS0000253,tier_2,Basse,2024-05-18
CUS0000254,tier_1,Banjul,2023-03-19
CUS0000255,tier_2,Brikama,2025-04-11
CUS0000256,tier_1,Farafenni,2023-03-13
CUS0000257,tier_2,Lagos,2025-08-06
CUS0000258,tier_1,Banjul,2023-07-22
CUS0000259,tier_1,Kanifing,2024-03-30
CUS0000260,tier_2,Port Harcourt,2023-09-25
CUS0000261,tier_2,Abuja,2024-05-18
CUS0000262,tier_1,Banjul,2024-03-06
CUS0000263,tier_1,Port Harcourt,2023-06-03
CUS0000264,tier_2,Lagos,2025-07-04
CUS0000265,tier_1,Kanifing,2024-08-20
CUS0000266,tier_1,Abuja,2023-01-23
CUS0000267,tier_1,Basse,2024-02-05
CUS0000268,tier_1,Brikama,2025-07-28
CUS0000269,tier_1,Kanifing,2023-01-10
CUS0000270,tier_1,Lagos,2024-01-12
CUS0000271,tier_2,Brikama,2024-09-04
CUS0000272,tier_1,Basse,2024-11-22
CUS0000273,tier_1,Brikama,2025-07-30
CUS0000274,tier_1,Kano,2023-05-26
CUS0000275,tier_2,Port Harcourt,2023-06-26
CUS0000276,tier_2,Port Harcourt,2024-03-10
CUS0000277,tier_2,Lagos,2025-02-25
CUS0000278,tier_1,Kano,2023-07-10
CUS0000279,tier_2,Basse,2025-09-07
CUS0000280,tier_1,Kanifing,2024-04-05
CUS0000281,tier_1,Banjul,2025-09-06
CUS0000282,tier_1,Basse,2025-07-27
CUS0000283,tier_2,Kanifing,2023-02-27
CUS0000284,tier_1,Port Harcourt,2022-11-22
CUS0000285,tier_3,Banjul,2023-06-24
CUS0000286,tier_3,Port Harcourt,2024-12-11
CUS0000287,tier_1,Kano,2023-03-11
CUS0000288,tier_1,Banjul,2023-06-23
CUS0000289,tier_1,Lagos,2025-07-12
CUS0000290,tier_1,Brikama,2025-10-12
CUS0000291,tier_1,Kano,2023-07-16
CUS0000292,tier_1,Port Harcourt,2025-02-09
CUS0000293,tier_1,Basse,2023-10-30
CUS0000294,tier_1,Lagos,2025-09-15
CUS0000295,tier_2,Lagos,2025-08-19
CUS0000296,tier_1,Ibadan,2023-11-01
CUS0000297,tier_1,Port Harcourt,2025-02-27
CUS0000298,tier_1,Port Harcourt,2025-03-17
CUS0000299,tier_3,Basse,2023-10-21
CUS0000300,tier_1,Kanifing,2024-04-06
CUS0000301,tier_2,Lagos,2025-04-14
CUS0000302,tier_2,Ibadan,2025-06-23
CUS0000303,tier_2,Abuja,2023-02-24
CUS0000304,tier_1,Lagos,2024-04-08
CUS0000305,tier_1,Farafenni,2024-02-01
CUS0000306,tier_3,Kano,2024-12-03
CUS0000307,tier_1,Brikama,2025-02-17
CUS0000308,tier_1,Kanifing,2023-02-26
CUS0000309,tier_2,Ibadan,2025-10-15
CUS0000310,tier_2,Port Harcourt,2025-04-07
CUS0000311,tier_2,Brikama,2025-02-02
CUS0000312,tier_1,Port Harcourt,2025-01-26
CUS0000313,tier_2,Banjul,2023-09-12
CUS0000314,tier_1,Farafenni,2023-07-06
CUS0000315,tier_2,Kano,2024-09-08
CUS0000316,tier_1,Basse,2023-05-16
CUS0000317,tier_3,Farafenni,2023-12-09
CUS0000318,tier_2,Port Harcourt,2023-07-13
CUS0000319,tier_1,Basse,2023-11-10
CUS0000320,tier_1,Abuja,2025-02-03
CUS0000321,tier_2,Port Harcourt,2025-03-23
CUS0000322,tier_2,Banjul,2023-04-22
CUS0000323,tier_2,Ibadan,2025-06-04
CUS0000324,tier_2,Ibadan,2025-04-20
CUS0000325,tier_1,Brikama,2024-06-21
CUS0000326,tier_1,Ibadan,2025-03-05
CUS0000327,tier_2,Kanifing,2024-10-03
CUS0000328,tier_2,Lagos,2025-11-07
CUS0000329,tier_1,Abuja,2023-03-09
CUS0000330,tier_1,Abuja,2025-07-17
CUS0000331,tier_1,Banjul,2024-03-19
CUS0000332,tier_3,Lagos,2025-03-07
CUS0000333,tier_1,Basse,2023-05-09
CUS0000334,tier_2,Brikama,2023-05-16
CUS0000335,tier_1,Banjul,2025-07-22
CUS0000336,tier_1,Farafenni,2025-02-28
CUS0000337,tier_1,Port Harcourt,2023-01-16
CUS0000338,tier_1,Basse,2024-09-01
CUS0000339,tier_1,Banjul,2024-08-30
CUS0000340,tier_1,Port Harcourt,2023-06-09
CUS0000341,tier_1,Kano,2022-12-30
CUS0000342,tier_1,Ibadan,2022-10-11
CUS0000343,tier_1,Brikama,2024-05-14
CUS0000344,tier_1,Port Harcourt,2024-01-09
CUS0000345,tier_1,Abuja,2024-12-13
CUS0000346,tier_2,Kanifing,2023-01-24
CUS0000347,tier_3,Kanifing,2023-01-19
CUS0000348,tier_1,Ibadan,2022-11-23
CUS0000349,tier_1,Kano,2025-10-03
CUS0000350,tier_2,Lagos,2024-07-30
CUS0000351,tier_2,Lagos,2025-08-15
CUS0000352,tier_1,Kanifing,2022-09-27
CUS0000353,tier_2,Lagos,2025-04-02
CUS0000354,tier_1,Ibadan,2024-02-07
CUS0000355,tier_2,Brikama,2023-05-25
CUS0000356,tier_3,Kano,2024-12-23
CUS0000357,tier_2,Kanifing,2023-06-08
CUS0000358,tier_1,Farafenni,2025-10-03
CUS0000359,tier_2,Banjul,2024-03-25
CUS0000360,tier_3,Ibadan,2023-10-08
CUS0000361,tier_3,Ibadan,2023-05-07
CUS0000362,tier_1,Farafenni,2024-05-25
CUS0000363,tier_1,Banjul,2024-02-21
CUS0000364,tier_1,Lagos,2023-07-21
CUS0000365,tier_2,Kano,2023-11-01
CUS0000366,tier_1,Brikama,2023-03-21
CUS0000367,tier_2,Lagos,2023-02-02
CUS0000368,tier_1,Kanifing,2023-08-15
CUS0000369,tier_1,Port Harcourt,2024-12-27
CUS0000370,tier_1,Lagos,2025-06-04
CUS0000371,tier_1,Basse,2024-04-13
CUS0000372,tier_1,Abuja,2025-01-24
CUS0000373,tier_2,Lagos,2023-06-30
CUS0000374,tier_1,Lagos,2023-07-25
CUS0000375,tier_1,Banjul,2025-07-31
CUS0000376,tier_2,Abuja,2023-12-18
CUS0000377,tier_1,Brikama,2025-10-29
CUS0000378,tier_1,Port Harcourt,2023-07-18
CUS0000379,tier_1,Kanifing,2024-09-04
CUS0000380,tier_2,Lagos,2023-12-21
CUS0000381,tier_1,Port Harcourt,2025-10-26
CUS0000382,tier_2,Kano,2023-12-03
CUS0000383,tier_1,Kanifing,2022-10-13
CUS0000384,tier_1,Lagos,2023-10-08
CUS0000385,tier_1,Basse,2024-08-07
CUS0000386,tier_3,Banjul,2024-12-15
CUS0000387,tier_1,Abuja,2022-11-07
CUS0000388,tier_1,Basse,2023-07-02
CUS0000389,tier_1,Port Harcourt,2024-05-26
CUS0000390,tier_2,Kano,2024-11-17
CUS0000391,tier_1,Kanifing,2023-06-20
CUS0000392,tier_1,Kano,2025-07-05
CUS0000393,tier_2,Lagos,2024-01-20
CUS0000394,tier_2,Ibadan,2022-12-17
CUS0000395,tier_1,Basse,2025-02-12
CUS0000396,tier_2,Brikama,2023-12-22
CUS0000397,tier_1,Kanifing,2024-11-15
CUS0000398,tier_2,Farafenni,2023-03-26
CUS0000399,tier_1,Ibadan,2022-10-16
CUS0000400,tier_1,Ibadan,2025-04-10
CUS0000401,tier_2,Kanifing,2025-08-19
CUS0000402,tier_1,Kano,2023-01-20
CUS0000403,tier_1,Abuja,2022-10-11
CUS0000404,tier_1,Lagos,2025-08-02
CUS0000405,tier_1,Ibadan,2024-01-26
CUS0000406,tier_1,Ibadan,2024-12-24
CUS0000407,tier_2,Brikama,2023-07-29
CUS0000408,tier_1,Banjul,2025-04-21
CUS0000409,tier_1,Basse,2025-01-28
CUS0000410,tier_1,Farafenni,2024-01-23
CUS0000411,tier_3,Ibadan,2024-05-29
CUS0000412,tier_2,Basse,2024-11-24
CUS0000413,tier_2,Ibadan,2024-06-17
CUS0000414,tier_1,Basse,2023-01-04
CUS0000415,tier_1,Brikama,2022-09-29
CUS0000416,tier_1,Port Harcourt,2024-02-09
CUS0000417,tier_2,Port Harcourt,2025-10-08
CUS0000418,tier_2,Banjul,2025-07-18
CUS0000419,tier_1,Port Harcourt,2024-07-07
CUS0000420,tier_2,Port Harcourt,2023-08-31
CUS0000421,tier_2,Banjul,2023-03-18
CUS0000422,tier_2,Ibadan,2024-05-17
CUS0000423,tier_2,Basse,2023-04-17
CUS0000424,tier_1,Abuja,2024-05-01
CUS0000425,tier_1,Banjul,2025-02-11
CUS0000426,tier_1,Kano,2023-05-25
CUS0000427,tier_1,Port Harcourt,2025-03-12
CUS0000428,tier_1,Lagos,2024-01-24
CUS0000429,tier_3,Brikama,2023-12-04
CUS0000430,tier_1,Kanifing,2024-03-18
CUS0000431,tier_1,Kanifing,2024-07-02
CUS0000432,tier_1,Brikama,2025-06-16
CUS0000433,tier_1,Abuja,2023-08-28
CUS0000434,tier_1,Brikama,2024-03-01
CUS0000435,tier_3,Lagos,2024-12-08
CUS0000436,tier_2,Kano,2023-02-11
CUS0000437,tier_1,Basse,2023-03-19
CUS0000438,tier_1,Abuja,2023-03-02
CUS0000439,tier_1,Farafenni,2024-10-17
CUS0000440,tier_2,Banjul,2025-09-19
CUS0000441,tier_1,Port Harcourt,2023-05-13
CUS0000442,tier_1,Banjul,2025-05-25
CUS0000443,tier_1,Basse,2023-12-13
CUS0000444,tier_2,Lagos,2025-09-30
CUS0000445,tier_1,Port Harcourt,2022-11-07
CUS0000446,tier_1,Ibadan,2024-05-19
CUS0000447,tier_1,Ibadan,2023-06-23
CUS0000448,tier_2,Basse,2025-05-02
CUS0000449,tier_1,Kanifing,2023-10-17
CUS0000450,tier_1,Lagos,2022-11-15
CUS0000451,tier_3,Brikama,2024-11-19
CUS0000452,tier_2,Abuja,2023-03-13
CUS0000453,tier_1,Banjul,2025-03-26
CUS0000454,tier_2,Kano,2023-02-02
CUS0000455,tier_1,Port Harcourt,2023-02-10
CUS0000456,tier_1,Port Harcourt,2024-03-19
CUS0000457,tier_1,Port Harcourt,2024-04-28
CUS0000458,tier_2,Ibadan,2023-02-22
CUS0000459,tier_1,Port Harcourt,2024-04-27
CUS0000460,tier_1,Banjul,2023-12-08
CUS0000461,tier_1,Kanifing,2023-08-31
CUS0000462,tier_2,Banjul,2023-05-05
CUS0000463,tier_1,Port Harcourt,2022-10-06
CUS0000464,tier_1,Banjul,2022-09-23
CUS0000465,tier_1,Ibadan,2023-11-14
CUS0000466,tier_1,Farafenni,2025-10-28
CUS0000467,tier_2,Kanifing,2024-12-06
CUS0000468,tier_1,Lagos,2023-08-27
CUS0000469,tier_1,Farafenni,2023-09-13
CUS0000470,tier_1,Port Harcourt,2023-05-11
CUS0000471,tier_2,Banjul,2025-03-24
CUS0000472,tier_1,Ibadan,2024-03-06
CUS0000473,tier_3,Kano,2023-01-20
CUS0000474,tier_1,Brikama,2023-06-04
CUS0000475,tier_3,Lagos,2022-12-09
CUS0000476,tier_1,Basse,2023-04-15
CUS0000477,tier_1,Farafenni,2024-06-08
CUS0000478,tier_2,Farafenni,2024-05-01
CUS0000479,tier_2,Farafenni,2023-04-05
CUS0000480,tier_1,Lagos,2022-11-10
CUS0000481,tier_3,Basse,2024-05-21
CUS0000482,tier_1,Ibadan,2023-11-15
CUS0000483,tier_2,Abuja,2024-01-25
CUS0000484,tier_3,Brikama,2024-05-16
CUS0000485,tier_1,Kanifing,2024-01-22
CUS0000486,tier_3,Basse,2023-04-25
CUS0000487,tier_1,Ibadan,2024-06-24
CUS0000488,tier_3,Basse,2025-03-25
CUS0000489,tier_1,Port Harcourt,2024-08-28
CUS0000490,tier_1,Ibadan,2024-09-25
CUS0000491,tier_2,Banjul,2025-06-09
CUS0000492,tier_1,Kano,2025-06-09
CUS0000493,tier_2,Brikama,2025-12-21
CUS0000494,tier_3,Brikama,2023-09-20
CUS0000495,tier_2,Kano,2023-04-29
CUS0000496,tier_2,Basse,2024-03-14
CUS0000497,tier_1,Banjul,2025-07-01
CUS0000498,tier_2,Farafenni,2023-01-01
CUS0000499,tier_2,Banjul,2025-01-07
CUS0000500,tier_1,Brikama,2025-10-18
CUS0000501,tier_3,Abuja,2023-03-23
CUS0000502,tier_1,Basse,2025-10-16
CUS0000503,tier_1,Port Harcourt,2025-05-26
CUS0000504,tier_3,Lagos,2024-05-28
CUS0000505,tier_1,Ibadan,2023-01-23
CUS0000506,tier_1,Brikama,2023-03-05
CUS0000507,tier_1,Farafenni,2025-05-15
CUS0000508,tier_1,Kano,2024-07-23
CUS0000509,tier_2,Banjul,2024-02-10
CUS0000510,tier_2,Port Harcourt,2024-12-01
CUS0000511,tier_1,Abuja,2023-08-09
CUS0000512,tier_1,Kanifing,2023-10-03
CUS0000513,tier_2,Brikama,2025-03-19
CUS0000514,tier_1,Farafenni,2025-12-18
CUS0000515,tier_1,Farafenni,2023-07-01
CUS0000516,tier_2,Lagos,2024-04-22
CUS0000517,tier_2,Port Harcourt,2025-12-08
CUS0000518,tier_1,Lagos,2024-09-04
CUS0000519,tier_1,Kanifing,2023-05-23
CUS0000520,tier_1,Abuja,2023-03-08
CUS0000521,tier_3,Basse,2025-05-05
CUS0000522,tier_2,Basse,2023-12-10
CUS0000523,tier_2,Farafenni,2025-04-02
CUS0000524,tier_1,Kano,2023-11-27
CUS0000525,tier_1,Ibadan,2023-05-12
CUS0000526,tier_2,Farafenni,2024-08-12
CUS0000527,tier_2,Port Harcourt,2025-07-17
CUS0000528,tier_1,Ibadan,2023-12-22
CUS0000529,tier_1,Port Harcourt,2025-05-16
CUS0000530,tier_1,Ibadan,2023-03-02
CUS0000531,tier_1,Ibadan,2025-02-28
CUS0000532,tier_1,Ibadan,2023-07-11
CUS0000533,tier_1,Farafenni,2022-09-24
CUS0000534,tier_1,Ibadan,2023-07-03
CUS0000535,tier_2,Kano,2025-04-05
CUS0000536,tier_1,Kano,2022-11-03
CUS0000537,tier_1,Kano,2024-04-09
CUS0000538,tier_2,Abuja,2024-07-28
CUS0000539,tier_2,Farafenni,2022-10-04
CUS0000540,tier_1,Abuja,2024-01-26
CUS0000541,tier_2,Ibadan,2025-08-30
CUS0000542,tier_3,Kanifing,2023-05-10
CUS0000543,tier_1,Abuja,2024-12-28
CUS0000544,tier_2,Abuja,2023-11-26
CUS0000545,tier_3,Abuja,2023-06-27
CUS0000546,tier_2,Abuja,2023-11-23
CUS0000547,tier_1,Ibadan,2025-04-03
CUS0000548,tier_2,Lagos,2025-05-03
CUS0000549,tier_1,Ibadan,2023-10-19
CUS0000550,tier_1,Farafenni,2025-12-24
CUS0000551,tier_2,Basse,2023-05-28
CUS0000552,tier_2,Ibadan,2023-08-16
CUS0000553,tier_1,Farafenni,2024-08-12
CUS0000554,tier_1,Brikama,2024-06-15
CUS0000555,tier_1,Kanifing,2025-10-27
CUS0000556,tier_2,Abuja,2025-11-29
CUS0000557,tier_1,Kanifing,2025-06-08
CUS0000558,tier_2,Kano,2025-09-23
CUS0000559,tier_1,Banjul,2023-09-30
CUS0000560,tier_1,Ibadan,2024-10-13
CUS0000561,tier_2,Banjul,2025-03-20
CUS0000562,tier_1,Basse,2024-09-08
CUS0000563,tier_2,Port Harcourt,2024-03-18
CUS0000564,tier_2,Lagos,2024-09-02
CUS0000565,tier_1,Brikama,2023-01-29
CUS0000566,tier_1,Basse,2024-06-16
CUS0000567,tier_1,Port Harcourt,2025-01-07
CUS0000568,tier_2,Abuja,2022-11-19
CUS0000569,tier_1,Lagos,2023-11-12
CUS0000570,tier_2,Lagos,2023-09-01
