agent_id,agent_name,region,tier,registration_date,opening_cash_float
AGT00083,Agent 00083,Port Harcourt,standard,2024-12-16,20269.8
AGT00084,Agent 00084,Basse,standard,2025-03-20,72900.24
AGT00085,Agent 00085,Banjul,standard,2024-09-25,67201.11
AGT00086,Agent 00086,Banjul,standard,2023-10-05,14811.47
AGT00087,Agent 00087,Basse,standard,2024-09-06,46376.03
AGT00088,Agent 00088,Abuja,standard,2025-08-10,10643.29
AGT00089,Agent 00089,Brikama,standard,2023-08-01,32691.2
AGT00090,Agent 00090,Ibadan,standard,2025-07-25,8137.16
AGT00091,Agent 00091,Lagos,super_agent,2023-09-09,293049.07
AGT00092,Agent 00092,Banjul,super_agent,2025-05-01,220516.67
AGT00093,Agent 00093,Kanifing,standard,2024-05-08,71310.1
AGT00094,Agent 00094,Abuja,super_agent,2023-10-27,88638.33
AGT00095,Agent 00095,Farafenni,super_agent,2023-09-05,252692.93
AGT00096,Agent 00096,Abuja,standard,2023-11-09,74336.55
AGT00097,Agent 00097,Abuja,standard,2023-11-11,65806.2
AGT00098,Agent 00098,Basse,standard,2023-12-15,13107.17
AGT00099,Agent 00099,Banjul,super_agent,2025-04-19,99893.21
AGT00100,Agent 00100,Kano,standard,2023-08-15,64650.91
AGT00101,Agent 00101,Farafenni,standard,2024-01-27,19484.73
AGT00102,Agent 00102,Lagos,standard,2025-09-22,77516.68
AGT00103,Agent 00103,Basse,standard,2024-06-29,34975.88
AGT00104,Agent 00104,Ibadan,standard,2025-11-04,13650.63
AGT00105,Agent 00105,Basse,standard,2025-03-06,7869.29
AGT00106,Agent 00106,Port Harcourt,standard,2023-11-17,63982.11
AGT00107,Agent 00107,Abuja,standard,2024-06-27,13673.43
AGT00108,Agent 00108,Port Harcourt,standard,2025-10-18,58158.9
AGT00109,Agent 00109,Banjul,standard,2023-08-30,45383.9
AGT00110,Agent 00110,Farafenni,standard,2025-09-22,76165.59
AGT00111,Agent 00111,Lagos,standard,2024-01-23,68601.15
AGT00112,Agent 00112,Basse,standard,2024-01-20,35629.47
AGT00113,Agent 00113,Abuja,standard,2024-05-14,14546.58
AGT00114,Agent 00114,Abuja,standard,2024-11-09,55798.85
AGT00115,Agent 00115,Brikama,standard,2025-01-28,35455.64
AGT00116,Agent 00116,Banjul,standard,2025-05-01,37241.61
AGT00117,Agent 00117,Port Harcourt,standard,2025-01-07,39874.11
AGT00118,Agent 00118,Kano,standard,2024-06-27,40488.96
AGT00119,Agent 00119,Brikama,standard,2025-02-15,43658.9
AGT00120,Agent 00120,Port Harcourt,standard,2023-08-17,76399.97
AGT00121,Agent 00121,Farafenni,standard,2025-04-16,65492.22
AGT00122,Agent 00122,Brikama,standard,2025-03-27,78795.2
AGT00123,Agent 00123,Port Harcourt,standard,2025-09-19,39156.21
AGT00124,Agent 00124,Port Harcourt,standard,2023-12-20,33798.39
AGT00125,Agent 00125,Abuja,standard,2024-01-31,56571.68
AGT00126,Agent 00126,Kanifing,standard,2025-04-22,18191.5
AGT00127,Agent 00127,Ibadan,standard,2024-05-11,23689.87
AGT00128,Agent 00128,Kanifing,standard,2023-09-04,39848.24
AGT00129,Agent 00129,Ibadan,super_agent,2024-04-02,129324.49
AGT00130,Agent 00130,Kano,standard,2023-11-27,71901.52
AGT00131,Agent 00131,Abuja,standard,2024-05-20,38443.52
AGT00132,Agent 00132,Brikama,standard,2024-08-03,38755.23
AGT00133,Agent 00133,Farafenni,standard,2025-02-22,62436.03
AGT00134,Agent 00134,Ibadan,standard,2025-04-02,25594.81
AGT00135,Agent 00135,Kanifing,standard,2025-04-06,25378.63
AGT00136,Agent 00136,Lagos,super_agent,2025-09-11,84593.52
AGT00137,Agent 00137,Farafenni,standard,2025-06-29,57981.44
AGT00138,Agent 00138,Kanifing,standard,2024-12-29,45695.84
AGT00139,Agent 00139,Abuja,standard,2023-08-03,36510.76
AGT00140,Agent 00140,Port Harcourt,super_agent,2025-11-12,264183.01
AGT00141,Agent 00141,Port Harcourt,standard,2025-11-26,75705.62
AGT00142,Agent 00142,Basse,standard,2023-07-31,36426.6
AGT00143,Agent 00143,Ibadan,standard,2025-04-21,41617.21
AGT00144,Agent 00144,Basse,standard,2025-11-03,34164.29
AGT00145,Agent 00145,Abuja,standard,2023-07-26,40054.26
AGT00146,Agent 00146,Brikama,super_agent,2024-06-04,56741.61
AGT00147,Agent 00147,Abuja,standard,2024-01-24,7032.65
AGT00148,Agent 00148,Abuja,standard,2024-08-17,18629.68
AGT00149,Agent 00149,Basse,standard,2025-04-30,39102.45
